"row_num","id_lab","site_id","sheet_name_unbc","lab_group","sp_code1","sp_code2","sp_code3","sp_code4","site_pattern"
1,"f20401","199267_us_ed1b","BT CH",4,"BT","CH",NA,NA,"vic_vic"
2,"f20402","24715757_ds_ed1","BT CH",4,"BT","CH",NA,NA,"vic_vic"
3,"f60503","199171_ds_ed1","BT CH RB SK",5,"BT","CH","RB","SK","vic_vic_vic_vic"
4,"f60504","199171_us_ed1","BT CH RB SK",5,"BT","CH","RB","SK","vic_vic_vic_vic"
5,"f60505","199190_ds_ed1","BT CH RB SK",5,"BT","CH","RB","SK","vic_vic_vic_vic"
6,"f60506","203582_us_ed1a","BT CH RB SK",5,"BT","CH","RB","SK","vic_vic_vic_vic"
7,"f60507","203582_us_ed1b","BT CH RB SK",5,"BT","CH","RB","SK","vic_vic_vic_vic"
8,"f60808","196209_us_ed1","BT CH CO SK",8,"BT","CH","CO","SK","vic_vic_vic_vic"
9,"f60809","199237_ds_ed1","BT CH CO SK",8,"BT","CH","CO","SK","vic_vic_vic_vic"
10,"f60810","199237_us_ed1","BT CH CO SK",8,"BT","CH","CO","SK","vic_vic_vic_vic"
11,"f60811","199267_ds_ed1","BT CH CO SK",8,"BT","CH","CO","SK","vic_vic_vic_vic"
12,"f60812","199273_ds_ed1","BT CH CO SK",8,"BT","CH","CO","SK","vic_vic_vic_vic"
13,"f60813","23919_ds_ed1a","BT CH CO SK",8,"BT","CH","CO","SK","vic_vic_vic_vic"
14,"f60814","23919_ds_ed1b","BT CH CO SK",8,"BT","CH","CO","SK","vic_vic_vic_vic"
15,"f40915","196085_ds_ed1","BT CH BB SK",9,"BT","CH","BB","SK","vic_vic_vic_fam"
16,"f41016","196076_ds_ed2a","BT CH BB RB",10,"BT","CH","BB","RB","vic_vic_vic_fam"
17,"f41017","196076_ds_ed2b","BT CH BB RB",10,"BT","CH","BB","RB","vic_vic_vic_fam"
18,"f41018","196076_ds_ed3","BT CH BB RB",10,"BT","CH","BB","RB","vic_vic_vic_fam"
19,"f41019","196085_us_ed1a","BT CH BB RB",10,"BT","CH","BB","RB","vic_vic_vic_fam"
20,"f41020","196085_us_ed1b","BT CH BB RB",10,"BT","CH","BB","RB","vic_vic_vic_fam"
21,"f61121","126158_ds_ed1","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
22,"f61122","126158_us_ed1","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
23,"f61123","196076_ds_ed1a","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
24,"f61124","196076_ds_ed1b","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
25,"f61125","196076_us_ed1","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
26,"f61126","199173_ds_ed1","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
27,"f61127","199173_us_ed1","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
28,"f61128","199174_us_ed1","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
29,"f61129","199190_us_ed1","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
30,"f61130","199267_us_ed1a","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
31,"f61131","199278_ds_ed1","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
32,"f61132","199278_us_ed1","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
33,"f61133","20251005_ds_ed","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
34,"f61134","20251005_us_ed1","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
35,"f61135","203578_ds_ed1","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
36,"f21236","126349_ds_ed1","BT RB",12,"BT","RB",NA,NA,"vic_vic"
37,"f21237","196332_ds_ed1","BT RB",12,"BT","RB",NA,NA,"vic_vic"
38,"f21238","196332_us_ed1","BT RB",12,"BT","RB",NA,NA,"vic_vic"
39,"m10139","199663_ds_ed1","BT GR BB RB",1,"BT","GR","BB","RB","fam_fam_vic_vic"
40,"m10140","199663_us_ed1","BT GR BB RB",1,"BT","GR","BB","RB","fam_fam_vic_vic"
41,"m21241","125000_ds_ed1a","BT RB",12,"BT","RB",NA,NA,"vic_vic"
42,"m21242","125194_ds_ed1a","BT RB",12,"BT","RB",NA,NA,"vic_vic"
43,"m21243","125194_ds_ed1b","BT RB",12,"BT","RB",NA,NA,"vic_vic"
44,"m21244","57695_us_ed1","BT RB",12,"BT","RB",NA,NA,"vic_vic"
45,"m21245","57696_ds_ed1","BT RB",12,"BT","RB",NA,NA,"vic_vic"
46,"m21246","57696_us_ed1","BT RB",12,"BT","RB",NA,NA,"vic_vic"
47,"m41347","125000_ds_ed1","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
48,"m41348","125000_us_ed1","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
49,"m41349","125179_ds_ed1a","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
50,"m41350","125179_ds_ed1b","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
51,"m41351","125179_us_ed1a","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
52,"m41352","125179_us_ed1b","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
53,"m41353","125180_ds_ed1","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
54,"m41354","125180_us_ed1","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
55,"m41355","125231_ds_ed1a","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
56,"m41356","125231_ds_ed1c","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
57,"m41357","125231_us_ed1","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
58,"m41358","125261_ds_ed1","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
59,"m41359","125261_us_ed1a","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
60,"m41360","125261_us_ed1b","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
61,"m41361","198692_ds_ed1a","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
62,"m41362","198692_ds_ed1b","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
63,"m41363","198692_ds_ed2","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
64,"m41364","198692_us_ed1","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
65,"m41365","203597_ds_ed1a","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
66,"m41366","203597_ds_ed1b","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
67,"m41367","203597_us_ed1","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
68,"m41368","203605_ds_ed1","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
69,"m41369","203605_us_ed1","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
70,"m41370","24718557_ed1","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
71,"m41371","57690_ds_ed1","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
72,"m41372","57690_us_ed1","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
73,"m41373","57695_ds_ed1","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
74,"s60274","8547_us_ed1","BTDV CH CO SK",2,"DV","CH","CO","SK","vic_vic_vic_vic"
75,"s60275","bulkley_falls_ds_ed1","BTDV CH CO SK",2,"DV","CH","CO","SK","vic_vic_vic_vic"
76,"s60276","bulkley_falls_ds_ed2","BTDV CH CO SK",2,"DV","CH","CO","SK","vic_vic_vic_vic"
77,"s60377","8547_ds_ed2","BTDV CO RB SK",3,"DV","CO","RB","SK","vic_vic_vic_vic"
78,"s60678","197962_ds_ed","CH CO RB SK",6,"CH","CO","RB","SK","vic_vic_vic_vic"
79,"s50879","197960_ds_ed1","BT CH CO SK",8,"BT","CH","CO","SK","vic_vic_vic_NA"
80,"s60880","197962_us_ed","BT CH CO SK",8,"BT","CH","CO","SK","vic_vic_vic_vic"
81,"s60881","8547_ds_ed1","BT CH CO SK",8,"BT","CH","CO","SK","vic_vic_vic_vic"
82,"s61182","197360_ds_ed","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
83,"s61183","197378 ds_ed1a","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
84,"s61184","197378_Us_ed1","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
85,"s61185","197378_ds_ed1b","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
86,"s61186","197379_ds_ed","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
87,"s61187","58067_ds_ed1","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
88,"s61188","8525_ds_ed1","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
89,"s61189","8525_us_ed1","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
90,"s61190","8525_us_ed2","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
91,"s61191","8530_ds_ed1","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
92,"s61192","8530_us_ed1","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
93,"s31493","197379_us_ed1","BT CO RB",14,"BT","CO","RB",NA,"vic_vic_vic"
